id,year,fall,name,name_type,mass,latitude,longitude,type
4922,1934-01-01T00:00:00.000,Fell,Bahjoi,Valid,10322,28.483330,78.500000,Point
4925,1929-01-01T00:00:00.000,Fell,Bald Mountain,Valid,3700,35.966670,-82.483330,Point
4926,1922-01-01T00:00:00.000,Fell,Baldwyn,Valid,345,34.500000,-88.666670,Point
4928,1907-01-01T00:00:00.000,Fell,Bali,Valid,1000,5.383330,16.383330,Point
4934,1993-01-01T00:00:00.000,Fell,Ban Rong Du,Valid,16700,16.666670,101.183330,Point
4935,1871-01-01T00:00:00.000,Fell,Bandong,Valid,11500,-6.916670,107.600000,Point
4936,1892-01-01T00:00:00.000,Fell,Bansur,Valid,15000,27.700000,76.333330,Point
4937,1913-01-01T00:00:00.000,Fell,Banswal,Valid,14,30.400000,78.200000,Point
4938,1933-01-01T00:00:00.000,Fell,Banten,Valid,629,-6.333330,106.000000,Point
4942,1790-01-01T00:00:00.000,Fell,Barbotan,Valid,6400,43.950000,-0.050000,Point
4944,1704-01-01T00:00:00.000,Fell,Barcelona (stone),Valid,,41.366670,2.166670,Point
4946,1842-01-01T00:00:00.000,Fell,Barea,Valid,3200,42.383330,-2.500000,Point
4947,1904-01-01T00:00:00.000,Fell,Barnaul,Valid,23.2,52.733330,84.083330,Point
4948,1886-01-01T00:00:00.000,Fell,Barntrup,Valid,17,52.000000,9.100000,Point
4949,1910-01-01T00:00:00.000,Fell,Baroti,Valid,4500,31.616670,76.800000,Point
4954,1965-01-01T00:00:00.000,Fell,Barwell,Valid,44000,52.565280,-1.339720,Point
44876,2006-01-01T00:00:00.000,Fell,Bassikounou,Valid,29560,15.783330,-5.900000,Point
4957,1994-01-01T00:00:00.000,Fell,Baszkówka,Valid,15500,52.033330,20.935830,Point
4974,1892-01-01T00:00:00.000,Fell,Bath,Valid,21000,45.416670,-98.316670,Point
4975,1902-01-01T00:00:00.000,Fell,Bath Furnace,Valid,86000,38.250000,-83.750000,Point
56133,2012-01-01T00:00:00.000,Fell,Battle Mountain,Valid,2900,40.668130,-117.189130,Point
4976,1989-01-01T00:00:00.000,Fell,Bawku,Valid,1557,11.083330,-0.183330,Point
4977,1916-01-01T00:00:00.000,Fell,Baxter,Valid,611,36.750000,-93.500000,Point
4984,1929-01-01T00:00:00.000,Fell,Beardsley,Valid,16000,39.800000,-101.200000,Point
4986,1893-01-01T00:00:00.000,Fell,Beaver Creek,Valid,14000,51.166670,-117.333330,Point
4993,1949-01-01T00:00:00.000,Fell,Beddgelert,Valid,794,53.016670,-4.100000,Point
5005,1961-01-01T00:00:00.000,Fell,Bells,Valid,375,33.600000,-96.466670,Point
5009,1937-01-01T00:00:00.000,Fell,Belville,Valid,,-32.333330,-64.866670,Point
5011,1798-01-01T00:00:00.000,Fell,Benares (a),Valid,3700,25.366670,82.916670,Point
30443,2004-01-01T00:00:00.000,Fell,Benguerir,Valid,25000,32.250000,-8.150000,Point
5018,2001-01-01T00:00:00.000,Fell,Beni M'hira,Valid,19000,32.866670,10.800000,Point
5021,1938-01-01T00:00:00.000,Fell,Benld,Valid,1770.5,39.083330,-89.150000,Point
5023,1943-01-01T00:00:00.000,Fell,Benoni,Valid,3880,-26.166670,28.416670,Point
5024,2002-01-01T00:00:00.000,Fell,Bensour,Valid,45000,30.000000,-7.000000,Point
